00:00:53.6925944 [Info] D is in control.
00:01:26.1386054 [Info] User sets amplitude to 19.7.
00:01:30.7968007 [Info] User sets amplitude to 45.8.
00:02:12.0100407 [Info] User sets offset to 125.
00:02:12.3823009 [Info] User sets offset to 126.
00:02:12.4317786 [Info] User sets offset to 127.
00:02:12.6664058 [Info] User sets offset to 128.
00:02:12.8335957 [Info] User sets offset to 129.
00:02:13.0836211 [Info] User sets offset to 130.
00:02:13.1671217 [Info] User sets offset to 131.
00:02:14.9495785 [Info] User sets offset to 130.
00:02:35.0048833 [Info] User 0 sets frequency to 1.
00:02:39.4303379 [Info] User 0 sets frequency to 0.1.
00:02:50.3630823 [Info] User sets amplitude to 31.4.
00:03:30.5021406 [Info] User 0 sets frequency to 0.3.
00:04:04.5021235 [Info] User 0 sets frequency to 0.5.
00:04:45.7181250 [Info] User sets offset to 128.
00:04:45.7404215 [Info] User sets offset to 126.
00:04:45.7545343 [Info] User sets offset to 125.
00:04:45.7685969 [Info] User sets offset to 123.
00:04:45.8008376 [Info] User sets offset to 121.
00:04:45.8196767 [Info] User sets offset to 119.
00:04:45.8351207 [Info] User sets offset to 118.
00:04:45.8862482 [Info] User sets offset to 117.
00:04:46.0017181 [Info] User sets offset to 116.
00:04:46.1521349 [Info] User sets offset to 115.
00:04:46.3168025 [Info] User sets offset to 114.
00:04:46.5004986 [Info] User sets offset to 113.
00:04:46.5511116 [Info] User sets offset to 112.
00:04:46.5850077 [Info] User sets offset to 111.
00:04:46.6361307 [Info] User sets offset to 110.
00:04:46.7056677 [Info] User sets offset to 109.
00:04:46.7677287 [Info] User sets offset to 108.
00:04:46.8004510 [Info] User sets offset to 107.
00:04:46.9003607 [Info] User sets offset to 106.
00:04:47.0349341 [Info] User sets offset to 105.
00:04:47.2664167 [Info] User sets offset to 104.
00:04:47.3414581 [Info] User sets offset to 103.
00:04:47.4537064 [Info] User sets offset to 102.
00:04:47.5851136 [Info] User sets offset to 101.
00:04:47.7373031 [Info] User sets offset to 100.
00:07:20.0721170 [Info] User 2 sets frequency to 0.
00:07:20.5593497 [Info] User sets amplitude to 0.
00:07:20.5597989 [Info] User sets offset to 90.
00:08:02.5529368 [Info] User 0 sets frequency to 0.1.
00:08:08.9347085 [Info] User 0 sets frequency to 0.4.
00:08:14.7199725 [Info] User 0 sets frequency to 0.2.
00:08:16.5863330 [Info] User sets offset to 144.
00:08:16.9234300 [Info] User sets offset to 145.
00:08:16.9404230 [Info] User sets offset to 147.
00:08:16.9570801 [Info] User sets offset to 153.
00:08:16.9729347 [Info] User sets offset to 158.
00:08:16.9894928 [Info] User sets offset to 160.
00:08:17.1056016 [Info] User sets offset to 161.
00:08:17.1554933 [Info] User sets offset to 162.
