time,user,param,value,time_sec
00:01:26.1386054,3,amplitude,19.7,86.1386054
00:01:30.7968007,3,amplitude,45.8,90.7968007
00:01:36.5211127,1,phase shift,5.811947,96.5211127
00:01:40.0674003,1,phase shift,0.5585054,100.0674003
00:01:59.5759553,2,amplitude,45.0,119.5759553
00:02:09.5055126,2,offset,133.0,129.5055126
00:02:10.6518198,2,offset,132.0,130.6518198
00:02:10.7028219,2,offset,131.0,130.7028219
00:02:10.7397950,2,offset,130.0,130.73979500000002
00:02:10.8529449,2,offset,129.0,130.8529449
00:02:12.0100407,3,offset,125.0,132.0100407
00:02:12.3823009,3,offset,126.0,132.3823009
00:02:12.4317786,3,offset,127.0,132.4317786
00:02:12.6664058,3,offset,128.0,132.6664058
00:02:12.8335957,3,offset,129.0,132.8335957
00:02:13.0836211,3,offset,130.0,133.0836211
00:02:13.1671217,3,offset,131.0,133.1671217
00:02:14.9495785,3,offset,130.0,134.9495785
00:02:17.6626123,2,offset,130.0,137.6626123
00:02:35.0048833,0,frequency,1.0,155.00488330000002
00:02:35.0053746,0,frequency,1.0,155.0053746
00:02:35.0064077,0,frequency,1.0,155.0064077
00:02:35.0068428,0,frequency,1.0,155.00684280000002
00:02:39.4303379,0,frequency,0.1,159.43033789999998
00:02:39.4308354,0,frequency,0.1,159.4308354
00:02:39.4318815,0,frequency,0.1,159.4318815
00:02:39.4323448,0,frequency,0.1,159.4323448
00:02:50.3630823,3,amplitude,31.4,170.3630823
00:03:12.6520171,0,offset,80.0,192.6520171
00:03:14.0203995,1,offset,80.0,194.0203995
00:03:18.8655023,1,amplitude,9.6,198.8655023
00:03:20.4671460,0,amplitude,20.0,200.467146
00:03:22.4058227,1,amplitude,20.0,202.4058227
00:03:30.5021406,0,frequency,0.3,210.5021406
00:03:30.5026066,0,frequency,0.3,210.5026066
00:03:30.5036475,0,frequency,0.3,210.5036475
00:03:30.5040834,0,frequency,0.3,210.5040834
00:03:38.8480631,2,phase shift,6.2482786,218.8480631
00:03:39.1427928,2,phase shift,6.213372,219.1427928
00:03:39.1594578,2,phase shift,6.126106,219.15945779999998
00:03:39.1774261,2,phase shift,6.1086526,219.1774261
00:03:39.1945995,2,phase shift,6.0911994,219.1945995
00:03:39.2241153,2,phase shift,6.0562925,219.2241153
00:03:39.2432476,2,phase shift,6.003933,219.2432476
00:03:39.2745764,2,phase shift,5.969026,219.2745764
00:03:39.2954410,2,phase shift,5.934119,219.29544099999998
00:03:39.3112191,2,phase shift,5.8643064,219.31121910000002
