user,param,start_time,end_time,from_value,to_value
0,amplitude,00:05:15.7068982,00:05:15.7314534,2.3,6.6
0,amplitude,00:05:15.7314534,00:05:15.7355798,6.6,7.2
0,amplitude,00:05:15.7355798,00:05:15.7474681,7.2,8.5
0,amplitude,00:05:15.7474681,00:05:15.7627048,8.5,9.7
0,amplitude,00:05:15.7627048,00:05:15.7817625,9.7,12.3
0,amplitude,00:05:15.7817625,00:05:15.7970429,12.3,13.1
0,amplitude,00:05:15.7970429,00:05:15.8151132,13.1,14.5
0,amplitude,00:05:15.8151132,00:05:15.8311435,14.5,15.2
0,amplitude,00:05:15.8311435,00:05:15.8478381,15.2,15.9
0,amplitude,00:05:15.8478381,00:05:15.8664858,15.9,16.4
0,amplitude,00:05:15.8664858,00:05:15.8804505,16.4,16.6
0,amplitude,00:05:15.8804505,00:05:15.8956910,16.6,17.1
0,amplitude,00:05:15.8956910,00:05:15.9131021,17.1,17.2
0,amplitude,00:05:15.9131021,00:05:15.9286088,17.2,17.4
0,amplitude,00:05:15.9286088,00:05:44.8089216,17.4,18.0
0,amplitude,00:05:44.8089216,00:05:44.8255257,18.0,30.9
0,amplitude,00:05:44.8255257,00:05:44.8640368,30.9,33.7
0,amplitude,00:05:44.8640368,00:05:44.8677365,33.7,33.9
0,amplitude,00:05:44.8677365,00:05:44.8793240,33.9,35.0
0,amplitude,00:05:44.8793240,00:05:44.8969027,35.0,35.8
0,amplitude,00:05:44.8969027,00:05:44.9146216,35.8,36.9
0,amplitude,00:05:44.9146216,00:05:44.9311098,36.9,37.8
0,amplitude,00:05:44.9311098,00:05:44.9464501,37.8,38.4
0,amplitude,00:05:44.9464501,00:05:44.9646211,38.4,38.8
0,amplitude,00:05:44.9646211,00:05:44.9811849,38.8,39.1
0,amplitude,00:05:44.9811849,00:05:44.9977647,39.1,39.5
0,amplitude,00:05:44.9977647,00:05:45.0141235,39.5,39.6
0,amplitude,00:05:45.0141235,00:05:45.0320095,39.6,39.7
0,amplitude,00:05:45.0320095,00:05:45.0488788,39.7,40.0
0,amplitude,00:05:45.0488788,00:05:45.0721472,40.0,40.1
0,amplitude,00:05:45.0721472,00:05:46.8916870,40.1,37.4
0,amplitude,00:05:46.8916870,00:05:46.9627560,37.4,40.5
0,amplitude,00:05:46.9627560,00:05:46.9688061,40.5,41.4
0,amplitude,00:05:46.9688061,00:05:46.9814256,41.4,44.6
0,amplitude,00:05:46.9814256,00:05:46.9985171,44.6,48.5
0,amplitude,00:05:46.9985171,00:05:47.0237801,48.5,51.4
0,amplitude,00:05:47.0237801,00:05:47.0295160,51.4,53.2
0,amplitude,00:05:47.0295160,00:05:47.0473336,53.2,54.8
0,amplitude,00:05:47.0473336,00:05:47.0647946,54.8,56.3
0,amplitude,00:05:47.0647946,00:05:47.0824646,56.3,57.1
0,amplitude,00:05:47.0824646,00:05:47.0982760,57.1,57.7
0,amplitude,00:05:47.0982760,00:05:47.1155355,57.7,58.1
0,amplitude,00:05:47.1155355,00:05:47.1306204,58.1,58.5
0,amplitude,00:05:47.1306204,00:05:47.1477390,58.5,58.8
0,amplitude,00:05:47.1477390,00:05:47.1655507,58.8,59.1
0,amplitude,00:05:47.1655507,00:05:47.1809200,59.1,59.2
0,amplitude,00:05:47.1809200,00:05:47.1973676,59.2,59.3
0,amplitude,00:05:47.1973676,00:05:47.2179044,59.3,59.5
0,amplitude,00:05:47.2179044,00:05:47.2468105,59.5,59.7
0,amplitude,00:05:47.2468105,00:05:47.2654255,59.7,59.8
0,amplitude,00:05:47.2654255,00:05:49.3157060,59.8,58.9
