frame,timestamp,position_x_px,position_y_px,orientation,num_markers
0,0.0000,893.00,457.25,-17.16,1
1,0.0334,893.00,457.25,-17.16,1
2,0.0667,893.00,457.25,-17.16,1
3,0.1001,893.00,457.00,-19.44,1
4,0.1335,893.00,457.00,-19.44,1
5,0.1668,893.00,457.00,-19.44,1
6,0.2002,893.00,457.00,-19.44,1
7,0.2336,893.00,457.00,-19.44,1
8,0.2669,893.00,457.25,-17.16,1
9,0.3003,893.00,457.25,-17.16,1
10,0.3337,893.00,457.25,-17.16,1
11,0.3670,893.00,457.25,-17.16,1
12,0.4004,893.00,457.25,-17.16,1
13,0.4338,893.00,457.25,-17.16,1
14,0.4671,893.00,457.25,-17.16,1
15,0.5005,893.00,457.25,-17.16,1
16,0.5339,893.00,457.25,-17.16,1
17,0.5672,893.00,457.25,-17.16,1
18,0.6006,893.00,457.25,-17.16,1
19,0.6340,893.00,457.25,-17.16,1
20,0.6673,893.00,457.25,-17.16,1
21,0.7007,893.00,457.25,-17.16,1
22,0.7341,893.00,457.25,-17.16,1
23,0.7674,893.00,457.25,-17.16,1
24,0.8008,893.00,457.25,-17.16,1
25,0.8342,893.00,457.00,-19.44,1
26,0.8675,893.00,457.00,-19.44,1
27,0.9009,893.00,457.00,-19.44,1
28,0.9343,893.00,457.00,-19.44,1
29,0.9676,893.00,457.00,-19.44,1
30,1.0010,893.00,457.00,-19.44,1
31,1.0344,893.00,457.00,-19.44,1
32,1.0677,893.00,457.00,-19.44,1
33,1.1011,893.00,457.00,-19.44,1
34,1.1345,893.00,457.00,-19.44,1
35,1.1678,893.00,457.00,-19.44,1
36,1.2012,893.00,457.00,-19.44,1
37,1.2346,893.00,457.00,-19.44,1
38,1.2679,893.00,457.00,-19.44,1
39,1.3013,893.00,457.00,-19.44,1
40,1.3347,893.00,457.00,-19.44,1
41,1.3680,893.00,457.00,-19.44,1
42,1.4014,893.00,457.00,-19.44,1
43,1.4348,893.00,457.00,-19.44,1
44,1.4681,893.00,457.00,-19.44,1
45,1.5015,893.00,457.00,-19.44,1
46,1.5349,893.00,457.00,-19.44,1
47,1.5682,893.00,457.00,-19.44,1
48,1.6016,893.00,457.00,-19.44,1
49,1.6350,893.00,457.00,-19.44,1
50,1.6683,893.00,457.00,-19.44,1
51,1.7017,893.00,457.00,-19.44,1
52,1.7351,893.00,457.00,-19.44,1
53,1.7684,893.00,457.00,-19.44,1
54,1.8018,893.00,457.00,-19.44,1
55,1.8352,893.00,457.00,-19.44,1
56,1.8685,893.00,457.00,-19.44,1
57,1.9019,893.00,457.00,-19.44,1
58,1.9353,893.00,457.00,-19.44,1
59,1.9686,893.00,457.00,-19.44,1
60,2.0020,893.00,457.00,-19.44,1
61,2.0354,893.00,457.00,-19.44,1
62,2.0687,893.00,457.00,-19.44,1
63,2.1021,893.00,457.00,-19.44,1
64,2.1355,893.00,457.00,-19.44,1
65,2.1688,893.00,457.00,-19.44,1
66,2.2022,893.00,457.00,-19.44,1
67,2.2356,893.00,457.00,-19.44,1
68,2.2689,893.00,457.00,-19.44,1
69,2.3023,893.00,457.00,-19.44,1
70,2.3357,893.00,457.00,-19.44,1
71,2.3690,893.00,457.00,-19.44,1
72,2.4024,893.00,457.00,-19.44,1
73,2.4358,893.00,457.00,-19.44,1
74,2.4691,893.00,457.00,-19.44,1
75,2.5025,893.00,457.00,-19.44,1
76,2.5359,893.00,457.00,-19.44,1
77,2.5692,893.00,457.00,-19.44,1
78,2.6026,893.00,457.00,-19.44,1
79,2.6360,893.00,457.00,-19.44,1
80,2.6693,893.00,457.00,-19.44,1
81,2.7027,893.00,457.00,-19.44,1
82,2.7361,893.00,457.00,-19.44,1
83,2.7694,893.00,457.00,-19.44,1
84,2.8028,893.00,457.00,-19.44,1
85,2.8362,893.00,457.00,-19.44,1
86,2.8695,893.00,457.00,-19.44,1
87,2.9029,893.00,457.00,-19.44,1
88,2.9363,893.00,457.00,-19.44,1
89,2.9696,893.00,457.00,-19.44,1
90,3.0030,893.00,457.00,-19.44,1
91,3.0364,893.00,457.25,-20.19,1
92,3.0697,893.00,457.25,-20.19,1
93,3.1031,893.00,457.25,-20.19,1
94,3.1365,893.00,457.25,-20.19,1
95,3.1698,893.00,457.25,-20.19,1
96,3.2032,893.00,457.25,-20.19,1
97,3.2366,893.00,457.25,-20.19,1
98,3.2699,893.00,457.25,-20.19,1
99,3.3033,893.00,457.25,-20.19,1
100,3.3367,893.00,457.25,-20.19,1
101,3.3700,893.00,457.25,-20.19,1
102,3.4034,893.00,457.25,-20.19,1
103,3.4368,893.00,457.25,-20.19,1
104,3.4701,893.00,457.25,-20.19,1
105,3.5035,893.00,457.25,-20.19,1
106,3.5369,893.00,457.25,-20.19,1
107,3.5702,893.00,457.25,-20.19,1
108,3.6036,893.00,457.00,-19.44,1
109,3.6370,893.00,457.00,-19.44,1
110,3.6703,893.00,457.00,-19.44,1
111,3.7037,893.00,457.00,-19.44,1
112,3.7371,893.00,457.00,-19.44,1
113,3.7704,893.00,457.00,-19.44,1
114,3.8038,893.00,457.00,-19.44,1
115,3.8372,893.00,457.00,-19.44,1
116,3.8705,893.00,457.00,-19.44,1
117,3.9039,893.00,457.00,-19.44,1
118,3.9373,893.00,457.25,-20.19,1
119,3.9706,893.00,457.25,-20.19,1
120,4.0040,893.00,457.25,-20.19,1
121,4.0374,893.00,457.25,-20.19,1
122,4.0707,893.00,457.25,-20.19,1
123,4.1041,893.00,457.25,-20.19,1
124,4.1375,893.00,457.25,-20.19,1
125,4.1708,893.00,457.25,-20.19,1
126,4.2042,893.00,457.25,-20.19,1
127,4.2376,893.00,457.25,-20.19,1
128,4.2709,893.00,457.25,-20.19,1
129,4.3043,893.00,457.25,-20.19,1
130,4.3377,893.00,457.25,-20.19,1
131,4.3710,893.00,457.25,-20.19,1
132,4.4044,893.00,457.25,-20.19,1
133,4.4378,893.00,457.25,-20.19,1
134,4.4711,893.00,457.25,-20.19,1
135,4.5045,893.00,457.25,-20.19,1
136,4.5379,893.00,457.25,-20.19,1
137,4.5712,893.00,457.25,-20.19,1
138,4.6046,893.00,457.25,-20.19,1
139,4.6380,893.00,457.25,-20.19,1
140,4.6713,893.00,457.25,-20.19,1
141,4.7047,893.00,457.25,-20.19,1
142,4.7381,893.00,457.25,-20.19,1
143,4.7714,893.00,457.25,-20.19,1
144,4.8048,893.00,457.25,-20.19,1
145,4.8382,893.00,457.25,-20.19,1
146,4.8715,893.00,457.25,-20.19,1
147,4.9049,893.00,457.25,-20.19,1
148,4.9383,893.00,457.25,-20.19,1
149,4.9716,893.00,457.25,-20.19,1
150,5.0050,893.00,457.25,-20.19,1
151,5.0384,893.00,457.25,-20.19,1
152,5.0717,893.00,457.25,-20.19,1
153,5.1051,893.00,457.25,-20.19,1
154,5.1385,893.00,457.25,-20.19,1
155,5.1718,893.00,457.25,-20.19,1
156,5.2052,893.00,457.25,-20.19,1
157,5.2386,893.00,457.25,-20.19,1
158,5.2719,893.00,457.25,-20.19,1
159,5.3053,893.00,457.25,-20.19,1
160,5.3387,893.00,457.25,-20.19,1
161,5.3720,893.00,457.25,-20.19,1
162,5.4054,893.00,457.25,-20.19,1
163,5.4388,893.00,457.25,-20.19,1
164,5.4721,893.00,457.25,-20.19,1
165,5.5055,893.00,457.25,-20.19,1
166,5.5389,893.00,457.25,-20.19,1
167,5.5722,893.00,457.25,-20.19,1
168,5.6056,893.00,457.25,-20.19,1
169,5.6390,893.00,457.25,-20.19,1
170,5.6723,893.00,457.25,-20.19,1
171,5.7057,893.00,457.25,-20.19,1
172,5.7391,893.00,457.25,-20.19,1
173,5.7724,893.00,457.25,-20.19,1
174,5.8058,893.00,457.25,-20.19,1
175,5.8392,893.00,457.25,-20.19,1
176,5.8725,893.00,457.25,-20.19,1
177,5.9059,893.00,457.25,-20.19,1
178,5.9393,893.00,457.00,-19.44,1
179,5.9726,893.00,457.00,-19.44,1
180,6.0060,893.00,457.00,-19.44,1
181,6.0394,893.00,457.00,-19.44,1
182,6.0727,893.00,457.00,-19.44,1
183,6.1061,893.00,457.00,-19.44,1
184,6.1395,893.00,457.00,-19.44,1
185,6.1728,893.00,457.00,-19.44,1
186,6.2062,893.00,457.00,-19.44,1
187,6.2396,893.00,457.00,-19.44,1
188,6.2729,893.00,457.00,-19.44,1
189,6.3063,893.00,457.00,-19.44,1
190,6.3397,893.00,457.00,-19.44,1
191,6.3730,893.00,457.00,-19.44,1
192,6.4064,893.00,457.00,-19.44,1
193,6.4398,893.00,457.00,-19.44,1
194,6.4731,893.00,457.00,-19.44,1
195,6.5065,893.00,457.00,-19.44,1
196,6.5399,893.00,457.00,-19.44,1
197,6.5732,893.00,457.00,-19.44,1
198,6.6066,893.00,457.00,-19.44,1
199,6.6400,893.00,457.00,-19.44,1
200,6.6733,893.00,457.00,-19.44,1
201,6.7067,893.00,457.00,-19.44,1
202,6.7401,893.00,457.00,-19.44,1
203,6.7734,893.00,457.00,-19.44,1
204,6.8068,893.00,457.00,-19.44,1
205,6.8402,893.00,457.00,-19.44,1
206,6.8735,893.00,457.00,-19.44,1
207,6.9069,893.00,457.00,-19.44,1
208,6.9403,893.00,457.00,-19.44,1
209,6.9736,893.00,457.00,-19.44,1
210,7.0070,893.00,457.00,-19.44,1
211,7.0404,893.00,457.00,-19.44,1
212,7.0737,893.00,457.00,-19.44,1
213,7.1071,893.00,457.00,-19.44,1
214,7.1405,893.00,457.00,-19.44,1
215,7.1738,893.00,457.00,-19.44,1
216,7.2072,893.00,457.00,-19.44,1
217,7.2406,893.00,457.00,-19.44,1
218,7.2739,893.00,457.00,-19.44,1
219,7.3073,893.00,457.00,-19.44,1
220,7.3407,893.00,457.00,-19.44,1
221,7.3740,893.00,457.00,-19.44,1
222,7.4074,893.00,457.00,-19.44,1
223,7.4408,893.00,457.00,-19.44,1
224,7.4741,893.00,457.00,-19.44,1
225,7.5075,893.00,457.00,-19.44,1
226,7.5409,893.00,457.00,-19.44,1
227,7.5742,893.00,457.00,-19.44,1
228,7.6076,893.00,457.00,-19.44,1
229,7.6410,893.00,457.00,-19.44,1
230,7.6743,893.00,457.00,-19.44,1
231,7.7077,893.00,457.00,-19.44,1
232,7.7411,893.00,457.00,-19.44,1
233,7.7744,893.00,457.00,-19.44,1
234,7.8078,893.00,457.00,-19.44,1
235,7.8412,893.00,457.00,-19.44,1
236,7.8745,893.00,457.00,-19.44,1
237,7.9079,893.00,457.00,-19.44,1
238,7.9413,893.00,457.00,-19.44,1
