frame,timestamp_sec,speed_px/s,distance_px/s
1,0.0334,0.000,0.000
2,0.0667,0.000,0.000
3,0.1001,7.493,0.250
4,0.1335,0.000,0.000
5,0.1668,0.000,0.000
6,0.2002,0.000,0.000
7,0.2336,0.000,0.000
8,0.2669,7.493,0.250
9,0.3003,0.000,0.000
10,0.3337,0.000,0.000
11,0.3670,0.000,0.000
12,0.4004,0.000,0.000
13,0.4338,0.000,0.000
14,0.4671,0.000,0.000
15,0.5005,0.000,0.000
16,0.5339,0.000,0.000
17,0.5672,0.000,0.000
18,0.6006,0.000,0.000
19,0.6340,0.000,0.000
20,0.6673,0.000,0.000
21,0.7007,0.000,0.000
22,0.7341,0.000,0.000
23,0.7674,0.000,0.000
24,0.8008,0.000,0.000
25,0.8342,7.493,0.250
26,0.8675,0.000,0.000
27,0.9009,0.000,0.000
28,0.9343,0.000,0.000
29,0.9676,0.000,0.000
30,1.0010,0.000,0.000
31,1.0344,0.000,0.000
32,1.0677,0.000,0.000
33,1.1011,0.000,0.000
34,1.1345,0.000,0.000
35,1.1678,0.000,0.000
36,1.2012,0.000,0.000
37,1.2346,0.000,0.000
38,1.2679,0.000,0.000
39,1.3013,0.000,0.000
40,1.3347,0.000,0.000
41,1.3680,0.000,0.000
42,1.4014,0.000,0.000
43,1.4348,0.000,0.000
44,1.4681,0.000,0.000
45,1.5015,0.000,0.000
46,1.5349,0.000,0.000
47,1.5682,0.000,0.000
48,1.6016,0.000,0.000
49,1.6350,0.000,0.000
50,1.6683,0.000,0.000
51,1.7017,0.000,0.000
52,1.7351,0.000,0.000
53,1.7684,0.000,0.000
54,1.8018,0.000,0.000
55,1.8352,0.000,0.000
56,1.8685,0.000,0.000
57,1.9019,0.000,0.000
58,1.9353,0.000,0.000
59,1.9686,0.000,0.000
60,2.0020,0.000,0.000
61,2.0354,0.000,0.000
62,2.0687,0.000,0.000
63,2.1021,0.000,0.000
64,2.1355,0.000,0.000
65,2.1688,0.000,0.000
66,2.2022,0.000,0.000
67,2.2356,0.000,0.000
68,2.2689,0.000,0.000
69,2.3023,0.000,0.000
70,2.3357,0.000,0.000
71,2.3690,0.000,0.000
72,2.4024,0.000,0.000
73,2.4358,0.000,0.000
74,2.4691,0.000,0.000
75,2.5025,0.000,0.000
76,2.5359,0.000,0.000
77,2.5692,0.000,0.000
78,2.6026,0.000,0.000
79,2.6360,0.000,0.000
80,2.6693,0.000,0.000
81,2.7027,0.000,0.000
82,2.7361,0.000,0.000
83,2.7694,0.000,0.000
84,2.8028,0.000,0.000
85,2.8362,0.000,0.000
86,2.8695,0.000,0.000
87,2.9029,0.000,0.000
88,2.9363,0.000,0.000
89,2.9696,0.000,0.000
90,3.0030,0.000,0.000
91,3.0364,7.493,0.250
92,3.0697,0.000,0.000
93,3.1031,0.000,0.000
94,3.1365,0.000,0.000
95,3.1698,0.000,0.000
96,3.2032,0.000,0.000
97,3.2366,0.000,0.000
98,3.2699,0.000,0.000
99,3.3033,0.000,0.000
100,3.3367,0.000,0.000
101,3.3700,0.000,0.000
102,3.4034,0.000,0.000
103,3.4368,0.000,0.000
104,3.4701,0.000,0.000
105,3.5035,0.000,0.000
106,3.5369,0.000,0.000
107,3.5702,0.000,0.000
108,3.6036,7.493,0.250
109,3.6370,0.000,0.000
110,3.6703,0.000,0.000
111,3.7037,0.000,0.000
112,3.7371,0.000,0.000
113,3.7704,0.000,0.000
114,3.8038,0.000,0.000
115,3.8372,0.000,0.000
116,3.8705,0.000,0.000
117,3.9039,0.000,0.000
118,3.9373,7.493,0.250
119,3.9706,0.000,0.000
120,4.0040,0.000,0.000
121,4.0374,0.000,0.000
122,4.0707,0.000,0.000
123,4.1041,0.000,0.000
124,4.1375,0.000,0.000
125,4.1708,0.000,0.000
126,4.2042,0.000,0.000
127,4.2376,0.000,0.000
128,4.2709,0.000,0.000
129,4.3043,0.000,0.000
130,4.3377,0.000,0.000
131,4.3710,0.000,0.000
132,4.4044,0.000,0.000
133,4.4378,0.000,0.000
134,4.4711,0.000,0.000
135,4.5045,0.000,0.000
136,4.5379,0.000,0.000
137,4.5712,0.000,0.000
138,4.6046,0.000,0.000
139,4.6380,0.000,0.000
140,4.6713,0.000,0.000
141,4.7047,0.000,0.000
142,4.7381,0.000,0.000
143,4.7714,0.000,0.000
144,4.8048,0.000,0.000
145,4.8382,0.000,0.000
146,4.8715,0.000,0.000
147,4.9049,0.000,0.000
148,4.9383,0.000,0.000
149,4.9716,0.000,0.000
150,5.0050,0.000,0.000
151,5.0384,0.000,0.000
152,5.0717,0.000,0.000
153,5.1051,0.000,0.000
154,5.1385,0.000,0.000
155,5.1718,0.000,0.000
156,5.2052,0.000,0.000
157,5.2386,0.000,0.000
158,5.2719,0.000,0.000
159,5.3053,0.000,0.000
160,5.3387,0.000,0.000
161,5.3720,0.000,0.000
162,5.4054,0.000,0.000
163,5.4388,0.000,0.000
164,5.4721,0.000,0.000
165,5.5055,0.000,0.000
166,5.5389,0.000,0.000
167,5.5722,0.000,0.000
168,5.6056,0.000,0.000
169,5.6390,0.000,0.000
170,5.6723,0.000,0.000
171,5.7057,0.000,0.000
172,5.7391,0.000,0.000
173,5.7724,0.000,0.000
174,5.8058,0.000,0.000
175,5.8392,0.000,0.000
176,5.8725,0.000,0.000
177,5.9059,0.000,0.000
178,5.9393,7.493,0.250
179,5.9726,0.000,0.000
180,6.0060,0.000,0.000
181,6.0394,0.000,0.000
182,6.0727,0.000,0.000
183,6.1061,0.000,0.000
184,6.1395,0.000,0.000
185,6.1728,0.000,0.000
186,6.2062,0.000,0.000
187,6.2396,0.000,0.000
188,6.2729,0.000,0.000
189,6.3063,0.000,0.000
190,6.3397,0.000,0.000
191,6.3730,0.000,0.000
192,6.4064,0.000,0.000
193,6.4398,0.000,0.000
194,6.4731,0.000,0.000
195,6.5065,0.000,0.000
196,6.5399,0.000,0.000
