trend,starttime,endtime
dull,0.033,19.720
decreasing,19.753,26.393
increasing,26.426,46.446
increasing,46.480,77.444
increasing,77.477,88.822
decreasing,88.855,101.301
increasing,101.334,109.042
increasing,109.076,123.290
increasing,123.323,130.630
decreasing,130.664,139.773
increasing,139.806,145.845
increasing,145.879,157.190
decreasing,157.224,203.403
increasing,203.436,236.136
increasing,236.169,249.916
decreasing,249.949,282.949
decreasing,282.982,295.528
increasing,295.562,305.038
decreasing,305.071,332.398
increasing,332.432,372.471
decreasing,372.505,410.409
decreasing,410.443,418.384
increasing,418.417,427.293
decreasing,427.326,462.161
decreasing,462.194,479.011
decreasing,479.045,486.519
increasing,486.552,496.495
decreasing,496.529,509.575
increasing,509.608,540.873
decreasing,540.906,552.618
increasing,552.651,566.832
decreasing,566.865,572.638
increasing,572.671,587.886
decreasing,587.920,605.871
increasing,605.904,613.912
decreasing,613.946,620.819
increasing,620.853,629.128
decreasing,629.161,636.702
decreasing,636.735,643.542
increasing,643.575,659.591
decreasing,659.625,669.601
increasing,669.635,676.875
decreasing,676.909,698.864
decreasing,698.897,718.483
increasing,718.517,735.100
increasing,735.133,754.086
decreasing,754.119,770.101
increasing,770.135,786.184
decreasing,786.218,797.062
increasing,797.095,814.512
decreasing,814.546,822.721
decreasing,822.754,831.029
increasing,831.062,850.215
increasing,850.248,857.489
decreasing,857.522,863.595
increasing,863.628,894.426
decreasing,894.459,921.352
decreasing,921.386,932.096
increasing,932.130,952.817
decreasing,952.850,960.958
increasing,960.992,970.001
decreasing,970.034,976.474
increasing,976.507,994.726
decreasing,994.759,1001.933
increasing,1001.966,1012.610
decreasing,1012.643,1029.560
increasing,1029.594,1048.913
increasing,1048.946,1063.895
decreasing,1063.928,1074.839
increasing,1074.872,1084.649
decreasing,1084.682,1092.223
increasing,1092.256,1098.295
decreasing,1098.329,1107.538
increasing,1107.571,1116.046
decreasing,1116.080,1135.866
decreasing,1135.900,1147.545
