param,user_pair,cross_corr
amplitude,0-1,0.4942923253774895
amplitude,0-2,0.4429011885907299
amplitude,0-3,0.44168672124124275
amplitude,1-2,0.4036577525982987
amplitude,1-3,0.4369212541260817
amplitude,2-3,0.2811568846267169
frequency,0-1,
frequency,0-2,0.028343858077295277
frequency,0-3,
frequency,1-2,0.33067558597144536
frequency,1-3,0.0277886752651338
frequency,2-3,0.031405199575920646
offset,0-1,0.7974631126987799
offset,0-2,0.7475462338009353
offset,0-3,0.6184205904646143
offset,1-2,0.4994002634518436
offset,1-3,0.587631417297563
offset,2-3,0.5694705525926186
phase shift,0-1,0.09282477832077775
phase shift,0-2,
phase shift,0-3,
phase shift,1-2,inf
phase shift,1-3,inf
phase shift,2-3,inf
